id,operador,id_maquina,data_abertura,data_fechamento,turno,status_checklist,obs,respostas_json,falhas,orimetro_inicial,orimetro_final,tipo_checklist,id_manutencao,aprovado_por,setor,check_aprovado_por,check_fechado_por
c_68cc720ab3441,master,1,2025-09-18T17:56:42-03:00,,A,aprovado,,"{""cracha_operador_valido"":""OK"",""freios"":""OK"",""conectores"":""OK"",""rodas_tracao_carga"":""OK"",""eletrica"":""OK"",""ventoinha_motores"":""OK"",""bateria"":""OK"",""agua_bateria"":""OK"",""limpeza_geral"":""OK"",""limpeza_roletes"":""OK"",""buzina_sirene_re"":""OK"",""botao_reverso"":""OK"",""direcao"":""OK"",""elevacao"":""OK"",""retratil"":""OK"",""inclinacao_garfos"":""OK"",""deslocamento_garfos_le"":""OK"",""deslocamento_garfos_ld"":""OK"",""corrente_torre"":""OK"",""botao_parada_emergencia"":""OK"",""pedais"":""OK"",""extintor"":""OK"",""cinto_seguranca"":""OK"",""buzina"":""OK""}",0,1,,abertura,,,Dedicado,master,
c_68cc7223a2be2,master,3,2025-09-18T17:57:07-03:00,,A,em_reparo,,"{""cracha_operador_valido"":""OK"",""freios"":""OK"",""conectores"":""OK"",""rodas_tracao_carga"":""OK"",""eletrica"":""OK"",""ventoinha_motores"":""OK"",""bateria"":""OK"",""agua_bateria"":""OK"",""limpeza_geral"":""OK"",""limpeza_roletes"":""OK"",""buzina_sirene_re"":""OK"",""timao"":""OK"",""controle_tracao"":""OK"",""comandos_timao"":""OK"",""comando_buzina"":""NC"",""comando_anti_esmagamento"":""NC"",""botoeiras_garfos"":""OK"",""botoeiras_buzina"":""OK"",""botoeiras_velocidade_alta"":""OK""}",2,1,,abertura,,,Dedicado,,
c_68d16ca8c1951,master,2,2025-09-22T12:35:04-03:00,,A,aprovado,,"{""cracha_operador_valido"":""OK"",""freios"":""OK"",""conectores"":""OK"",""rodas_tracao_carga"":""OK"",""eletrica"":""OK"",""ventoinha_motores"":""OK"",""bateria"":""OK"",""agua_bateria"":""OK"",""limpeza_geral"":""OK"",""limpeza_roletes"":""OK"",""buzina_sirene_re"":""OK"",""botao_reverso"":""OK"",""direcao"":""OK"",""elevacao"":""OK"",""retratil"":""OK"",""inclinacao_garfos"":""OK"",""deslocamento_garfos_le"":""OK"",""deslocamento_garfos_ld"":""OK"",""corrente_torre"":""OK"",""botao_parada_emergencia"":""OK"",""pedais"":""OK"",""extintor"":""OK"",""cinto_seguranca"":""OK"",""buzina"":""OK""}",0,1,,abertura,,,Dedicado,master,
c_68d17b1c00172,master,18,2025-09-22T13:36:44-03:00,,B,aprovado," ","{""cracha_operador_valido"":""OK"",""freios"":""OK"",""conectores"":""OK"",""rodas_tracao_carga"":""OK"",""eletrica"":""OK"",""ventoinha_motores"":""OK"",""bateria"":""OK"",""agua_bateria"":""OK"",""limpeza_geral"":""OK"",""limpeza_roletes"":""OK"",""buzina_sirene_re"":""OK""}",0,5,,abertura,,,multclientes,master,
